"Id","Name","Parent","CPU","Threads","WorkingSet","Path"
"6692","CrossDeviceResume",,"1,109375","System.Diagnostics.ProcessThreadCollection","3678208","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe"
"1080","csrss",,,"System.Diagnostics.ProcessThreadCollection","2228224",
"19012","csrss",,,"System.Diagnostics.ProcessThreadCollection","1454080",
"19368","ctfmon",,"29,1875","System.Diagnostics.ProcessThreadCollection","10985472",
"2720","DiagsCap",,,"System.Diagnostics.ProcessThreadCollection","4096",
"8736","dllhost",,"0,078125","System.Diagnostics.ProcessThreadCollection","2269184","C:\WINDOWS\system32\DllHost.exe"
"17760","dllhost",,"0,078125","System.Diagnostics.ProcessThreadCollection","2039808","C:\WINDOWS\system32\DllHost.exe"
"16676","dwm",,,"System.Diagnostics.ProcessThreadCollection","40501248",
"11172","EXCEL",,"3,78125","System.Diagnostics.ProcessThreadCollection","4747264","C:\Program Files (x86)\Microsoft Office\Office16\EXCEL.EXE"
"3236","explorer",,"166,1875","System.Diagnostics.ProcessThreadCollection","124076032","C:\WINDOWS\Explorer.EXE"
"1212","firefox",,"0,109375","System.Diagnostics.ProcessThreadCollection","4870144","C:\Program Files\Mozilla Firefox\firefox.exe"
"6280","firefox",,"0,140625","System.Diagnostics.ProcessThreadCollection","9531392","C:\Program Files\Mozilla Firefox\firefox.exe"
"7228","firefox",,"0,1875","System.Diagnostics.ProcessThreadCollection","8531968","C:\Program Files\Mozilla Firefox\firefox.exe"
"13848","firefox",,"1,453125","System.Diagnostics.ProcessThreadCollection","32288768","C:\Program Files\Mozilla Firefox\firefox.exe"
"13976","firefox",,"90,59375","System.Diagnostics.ProcessThreadCollection","141139968","C:\Program Files\Mozilla Firefox\firefox.exe"
"14120","firefox",,"0,171875","System.Diagnostics.ProcessThreadCollection","8581120","C:\Program Files\Mozilla Firefox\firefox.exe"
"16836","firefox",,"17,140625","System.Diagnostics.ProcessThreadCollection","47529984","C:\Program Files\Mozilla Firefox\firefox.exe"
"18140","firefox",,"0,109375","System.Diagnostics.ProcessThreadCollection","7372800","C:\Program Files\Mozilla Firefox\firefox.exe"
"20036","firefox",,"0,609375","System.Diagnostics.ProcessThreadCollection","20533248","C:\Program Files\Mozilla Firefox\firefox.exe"
