"Id","Name","Parent","CPU","Threads","WorkingSet","Path"
"22356","LockApp",,"1,3125","System.Diagnostics.ProcessThreadCollection","53248","C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe"
"4612","LsaIso",,,"System.Diagnostics.ProcessThreadCollection","4096",
"1340","lsass",,,"System.Diagnostics.ProcessThreadCollection","11161600",
"3440","Memory Compression",,,"System.Diagnostics.ProcessThreadCollection","138293248",
"4604","msedge",,"0,109375","System.Diagnostics.ProcessThreadCollection","1216512","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"13408","msedge",,"0,28125","System.Diagnostics.ProcessThreadCollection","2248704","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"19000","msedge",,"0,671875","System.Diagnostics.ProcessThreadCollection","6971392","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"19144","msedge",,"20,90625","System.Diagnostics.ProcessThreadCollection","35995648","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"19972","msedge",,"1,3125","System.Diagnostics.ProcessThreadCollection","14327808","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"2632","msedgewebview2",,"1,5625","System.Diagnostics.ProcessThreadCollection","7049216","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe"
"6352","msedgewebview2",,"5,65625","System.Diagnostics.ProcessThreadCollection","9162752","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe"
"7964","msedgewebview2",,"1,625","System.Diagnostics.ProcessThreadCollection","774144","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe"
"8024","msedgewebview2",,"3","System.Diagnostics.ProcessThreadCollection","5079040","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe"
"10552","msedgewebview2",,"7,28125","System.Diagnostics.ProcessThreadCollection","4644864","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe"
"10984","msedgewebview2",,"5,296875","System.Diagnostics.ProcessThreadCollection","7311360","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe"
"11164","msedgewebview2",,"0,046875","System.Diagnostics.ProcessThreadCollection","872448","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe"
"14020","msedgewebview2",,"0,46875","System.Diagnostics.ProcessThreadCollection","20480","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe"
"15800","msedgewebview2",,"6,734375","System.Diagnostics.ProcessThreadCollection","23797760","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe"
"16024","msedgewebview2",,"12,65625","System.Diagnostics.ProcessThreadCollection","712704","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe"
"17652","msedgewebview2",,"0,0625","System.Diagnostics.ProcessThreadCollection","1130496","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe"
"20280","msedgewebview2",,"0,390625","System.Diagnostics.ProcessThreadCollection","2166784","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe"
"8424","NetworkCap",,,"System.Diagnostics.ProcessThreadCollection","4096",
"9232","OmenCommandCenterBackground",,"278,703125","System.Diagnostics.ProcessThreadCollection","105021440","C:\Program Files\WindowsApps\AD2F1837.OMENCommandCenter_1101.2512.8.0_x64__v10z8vjag6ke6\OmenCommandCenterApp\OmenCommandCenterBackground.exe"
"17484","OmenInstallMonitor",,"1,671875","System.Diagnostics.ProcessThreadCollection","4321280",
"22416","OpenConsole",,"0,3125","System.Diagnostics.ProcessThreadCollection","1675264","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.13503.0_x64__8wekyb3d8bbwe\OpenConsole.exe"
"18708","OverlayHelper",,"4,171875","System.Diagnostics.ProcessThreadCollection","4694016",
"14960","powershell",,"10,125","System.Diagnostics.ProcessThreadCollection","20340736","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"
"16688","powershell",,"1,921875","System.Diagnostics.ProcessThreadCollection","79003648","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"
"24248","powershell",,"60,75","System.Diagnostics.ProcessThreadCollection","42491904","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"
"5844","python",,"0,015625","System.Diagnostics.ProcessThreadCollection","18800640","C:\Python314\python.exe"
"232","Registry",,,"System.Diagnostics.ProcessThreadCollection","17240064",
"6500","RtkAudUService64",,"1,734375","System.Diagnostics.ProcessThreadCollection","3932160","C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_04ff63d068f8c626\RtkAudUService64.exe"
"8844","RtkAudUService64",,,"System.Diagnostics.ProcessThreadCollection","4173824",
"18552","RtkAudUService64",,,"System.Diagnostics.ProcessThreadCollection","2895872",
"8864","RtkBtManServ",,,"System.Diagnostics.ProcessThreadCollection","4096",
"2816","RuntimeBroker",,"1,140625","System.Diagnostics.ProcessThreadCollection","4153344","C:\Windows\System32\RuntimeBroker.exe"
"9268","RuntimeBroker",,"0,171875","System.Diagnostics.ProcessThreadCollection","770048","C:\Windows\System32\RuntimeBroker.exe"
"14216","RuntimeBroker",,"0,9375","System.Diagnostics.ProcessThreadCollection","3690496","C:\Windows\System32\RuntimeBroker.exe"
"15028","RuntimeBroker",,"0,0625","System.Diagnostics.ProcessThreadCollection","7319552","C:\Windows\System32\RuntimeBroker.exe"
"16000","RuntimeBroker",,"0,625","System.Diagnostics.ProcessThreadCollection","2605056","C:\Windows\System32\RuntimeBroker.exe"
"19408","RuntimeBroker",,"2,578125","System.Diagnostics.ProcessThreadCollection","9338880","C:\Windows\System32\RuntimeBroker.exe"
"22572","RuntimeBroker",,"1,609375","System.Diagnostics.ProcessThreadCollection","6488064","C:\Windows\System32\RuntimeBroker.exe"
"1244","SearchHost",,"8,4375","System.Diagnostics.ProcessThreadCollection","11952128","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe"
"8272","SearchIndexer",,,"System.Diagnostics.ProcessThreadCollection","18096128",
"19976","SearchProtocolHost",,,"System.Diagnostics.ProcessThreadCollection","19021824",
"5968","SECOCL64",,"0,265625","System.Diagnostics.ProcessThreadCollection","2375680","C:\WINDOWS\System32\SECOCL64.exe"
"8888","SECOMN64",,,"System.Diagnostics.ProcessThreadCollection","2674688",
"188","Secure System",,,"System.Diagnostics.ProcessThreadCollection","41656320",
"1308","services",,,"System.Diagnostics.ProcessThreadCollection","6209536",
"19756","ShellExperienceHost",,"2,171875","System.Diagnostics.ProcessThreadCollection","7364608","C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"
"14924","ShellHost",,"0,25","System.Diagnostics.ProcessThreadCollection","5124096","C:\Windows\System32\ShellHost.exe"
"16604","sihost",,"10,5625","System.Diagnostics.ProcessThreadCollection","13029376","C:\WINDOWS\system32\sihost.exe"
"796","smss",,,"System.Diagnostics.ProcessThreadCollection","12288",
"5212","spoolsv",,,"System.Diagnostics.ProcessThreadCollection","4096",
"12260","sppsvc",,,"System.Diagnostics.ProcessThreadCollection","7753728",
"16236","StartMenuExperienceHost",,"7,203125","System.Diagnostics.ProcessThreadCollection","11730944","C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe"
"1400","svchost",,,"System.Diagnostics.ProcessThreadCollection","1163264",
"1476","svchost",,,"System.Diagnostics.ProcessThreadCollection","19308544",
"1644","svchost",,,"System.Diagnostics.ProcessThreadCollection","14176256",
"1704","svchost",,,"System.Diagnostics.ProcessThreadCollection","3649536",
"1836","svchost",,,"System.Diagnostics.ProcessThreadCollection","2756608",
"1992","svchost",,,"System.Diagnostics.ProcessThreadCollection","1372160",
"2000","svchost",,,"System.Diagnostics.ProcessThreadCollection","860160",
"2008","svchost",,,"System.Diagnostics.ProcessThreadCollection","3043328",
"2072","svchost",,,"System.Diagnostics.ProcessThreadCollection","5332992",
"2080","svchost",,,"System.Diagnostics.ProcessThreadCollection","1441792",
"2092","svchost",,,"System.Diagnostics.ProcessThreadCollection","4739072",
"2200","svchost",,,"System.Diagnostics.ProcessThreadCollection","9043968",
"2220","svchost",,,"System.Diagnostics.ProcessThreadCollection","2363392",
"2272","svchost",,,"System.Diagnostics.ProcessThreadCollection","1236992",
"2280","svchost",,,"System.Diagnostics.ProcessThreadCollection","1204224",
"2396","svchost",,,"System.Diagnostics.ProcessThreadCollection","962560",
"2476","svchost",,,"System.Diagnostics.ProcessThreadCollection","8835072",
"2500","svchost",,,"System.Diagnostics.ProcessThreadCollection","2596864",
"2548","svchost",,,"System.Diagnostics.ProcessThreadCollection","5435392",
"2600","svchost",,,"System.Diagnostics.ProcessThreadCollection","4157440",
"2896","svchost",,,"System.Diagnostics.ProcessThreadCollection","2662400",
"2940","svchost",,,"System.Diagnostics.ProcessThreadCollection","1253376",
"3056","svchost",,,"System.Diagnostics.ProcessThreadCollection","815104",
"3160","svchost",,,"System.Diagnostics.ProcessThreadCollection","2007040",
"3264","svchost",,,"System.Diagnostics.ProcessThreadCollection","7479296",
"3316","svchost",,,"System.Diagnostics.ProcessThreadCollection","1409024",
"3324","svchost",,,"System.Diagnostics.ProcessThreadCollection","6316032",
"3332","svchost",,,"System.Diagnostics.ProcessThreadCollection","1941504",
"3488","svchost",,,"System.Diagnostics.ProcessThreadCollection","622592",
"3616","svchost",,,"System.Diagnostics.ProcessThreadCollection","2453504",
"3632","svchost",,,"System.Diagnostics.ProcessThreadCollection","2789376",
"3848","svchost",,,"System.Diagnostics.ProcessThreadCollection","7655424",
"3864","svchost",,,"System.Diagnostics.ProcessThreadCollection","11010048",
"3892","svchost",,"2,265625","System.Diagnostics.ProcessThreadCollection","9736192","C:\WINDOWS\system32\svchost.exe"
"3936","svchost",,,"System.Diagnostics.ProcessThreadCollection","14131200",
"4084","svchost",,,"System.Diagnostics.ProcessThreadCollection","12132352",
"4120","svchost",,,"System.Diagnostics.ProcessThreadCollection","1241088",
"4176","svchost",,,"System.Diagnostics.ProcessThreadCollection","1384448",
